OrderID, ProductID, Quantity, Discount
440,4,3,17.92
1809,74,2,24.24
194,27,5,36.85
2636,87,4,46.64
1061,68,5,39.08
2279,32,2,25.9
2354,83,1,32.35
1935,23,1,17.91
4011,90,5,31.5
3047,54,4,16.61
2873,1,5,5.25
4365,19,2,11.97
2967,37,3,16.29
4181,38,5,36.35
448,97,4,2.65
958,60,5,21.33
4036,41,3,18.97
525,79,3,39.48
4604,72,2,27.59
4454,38,2,41.71
256,36,2,34.88
3604,20,1,26.47
4194,71,4,10.82
1684,37,1,25.48
25,47,4,39.22
537,94,1,34.54
1804,14,4,23.72
1530,14,2,33.37
688,84,1,33.52
1610,18,2,3.21
4144,80,5,4.61
4522,52,5,20.48
3026,59,3,46.41
1117,34,3,37.93
1699,7,2,32.46
973,85,4,35.02
1014,38,2,19.12
2091,51,4,34.26
2947,48,1,48.34
4154,62,5,35.55
4927,47,4,15.5
1355,95,5,23.37
123,74,4,14.63
2950,84,4,0.39
1883,33,3,18.72
3872,67,4,0.66
2611,56,2,38.52
506,34,5,39.41
2105,99,3,20.72
4988,42,4,26.28
1686,82,2,32.41
2126,33,5,41.53
2046,13,2,44.41
2684,13,3,40.47
63,77,5,23.11
2088,94,4,40.82
4617,66,4,4.15
2021,53,2,16.48
2993,55,1,1.8
436,16,4,16.38
1763,79,1,27.78
2019,59,1,6.08
3794,81,3,49.92
4352,57,2,37.92
3974,23,3,0.82
4981,43,4,0.81
1879,30,4,7.71
2405,30,2,16.13
4724,31,2,26.57
1533,68,1,10.96
3949,5,3,38.05
2616,95,1,10.31
3971,42,4,21.85
2080,15,3,10.75
1208,87,5,49.91
1866,35,2,32.1
2232,59,4,42.99
3193,86,5,31.09
3768,3,3,24.38
3039,49,3,17.31
4010,6,3,35.16
2479,1,3,42.12
239,55,5,43.14
4494,23,2,25.59
4463,55,3,10.97
2296,88,1,27.14
706,49,3,32.61
3875,100,1,1.75
1127,66,4,36.6
469,88,2,4.07
852,76,2,45.83
226,46,4,31.4
2685,51,3,18.19
3025,92,4,29.73
1633,25,5,32.35
3742,69,5,23.05
10,79,5,38.88
3577,2,2,5.23
543,84,3,22.27
2732,89,1,6.07
4335,12,1,45.08
2387,38,3,15.78
3475,4,2,39.97
3836,91,3,8.98
1119,77,5,1.39
1148,11,1,49.48
3012,5,3,0.43
3367,81,4,20.08
4624,48,4,15.6
1695,79,4,12.07
4976,1,5,39.37
3924,92,5,31.71
2147,1,2,1.84
3203,68,1,17.61
4929,57,4,9.29
1996,52,3,37.65
1955,30,3,36.37
4669,26,4,31.22
4408,99,1,40.03
575,97,3,37.56
795,43,3,14.85
156,78,4,7.62
1135,69,3,39.87
3215,43,1,24.43
3273,83,5,37.65
667,21,2,15.34
2809,93,3,24.21
2058,13,4,10.1
2952,99,2,5.68
3037,93,5,26.12
3264,58,1,37.17
1772,49,1,30.89
3839,51,4,32.94
3799,44,2,26.19
2925,36,2,38.18
104,37,1,24.67
1506,1,2,28.81
1813,90,2,16.87
1472,63,1,42.4
3030,52,2,36.77
4237,15,1,11.32
4091,29,1,43.56
4392,32,1,36.97
1963,15,2,39.69
1857,27,3,9.79
3973,92,4,24.96
929,56,3,21.95
3585,62,3,26.52
2854,94,1,4.12
750,20,5,47.45
3236,36,1,44.39
3805,63,2,19.55
335,7,3,32.71
3845,36,4,36.2
267,38,2,47.25
76,20,2,46.95
2210,51,4,49.88
3221,40,5,38.82
622,99,1,45.95
1997,90,4,25.94
1441,18,4,46.46
3245,67,4,36.31
2306,96,5,41.47
2650,22,4,46.69
