CustomerID, OrderDate, Status
16, 2025-06-03, Pending
16, 2025-05-12, Cancelled
30, 2024-10-05, Completed
46, 2024-11-19, Pending
47, 2024-10-08, Cancelled
49, 2025-01-31, Completed
43, 2025-07-21, Cancelled
36, 2024-10-28, Cancelled
11, 2024-08-27, Cancelled
30, 2025-03-02, Pending
12, 2025-02-22, Completed
14, 2024-10-03, Pending
15, 2025-08-16, Pending
40, 2025-03-21, Cancelled
17, 2024-11-01, Pending
9, 2025-05-01, Cancelled
29, 2025-03-11, Pending
44, 2025-06-04, Pending
45, 2025-03-23, Pending
43, 2025-01-18, Completed
4, 2025-06-16, Pending
13, 2025-08-13, Cancelled
9, 2025-01-31, Pending
5, 2024-09-20, Completed
14, 2025-03-24, Completed
16, 2025-08-04, Cancelled
15, 2025-01-10, Completed
36, 2024-09-06, Pending
11, 2025-06-17, Cancelled
47, 2025-02-28, Completed
30, 2025-02-17, Pending
4, 2025-03-04, Completed
38, 2024-09-28, Cancelled
4, 2025-06-13, Cancelled
45, 2024-12-23, Pending
33, 2024-12-22, Cancelled
30, 2025-03-05, Completed
39, 2025-08-12, Pending
35, 2025-02-05, Pending
34, 2025-07-23, Cancelled
1, 2025-04-10, Completed
16, 2024-09-16, Pending
43, 2024-10-23, Pending
40, 2024-12-28, Completed
49, 2024-12-26, Pending
46, 2025-05-01, Completed
26, 2025-02-02, Completed
7, 2025-03-01, Pending
9, 2025-08-17, Pending
48, 2024-12-25, Cancelled
23, 2025-04-23, Cancelled
6, 2025-01-31, Pending
22, 2024-11-16, Cancelled
43, 2024-10-14, Completed
1, 2024-12-03, Pending
46, 2025-05-27, Cancelled
12, 2024-09-12, Completed
37, 2025-03-19, Pending
17, 2024-12-12, Cancelled
31, 2024-09-13, Cancelled
29, 2025-05-30, Completed
43, 2025-02-14, Completed
15, 2025-08-12, Cancelled
3, 2025-06-24, Cancelled
45, 2025-02-24, Completed
42, 2024-09-12, Completed
47, 2024-10-07, Cancelled
27, 2025-03-20, Completed
2, 2024-11-07, Pending
10, 2024-10-14, Cancelled
14, 2025-02-20, Completed
23, 2025-06-06, Pending
37, 2025-03-09, Pending
22, 2024-11-12, Pending
41, 2025-06-16, Pending
11, 2024-11-27, Completed
7, 2024-12-27, Pending
1, 2025-05-20, Completed
40, 2024-09-11, Completed
44, 2025-05-29, Cancelled
24, 2024-10-05, Cancelled
20, 2024-11-16, Pending
28, 2025-04-30, Pending
47, 2025-01-06, Cancelled
25, 2024-10-20, Pending
23, 2024-10-28, Pending
2, 2025-07-13, Cancelled
42, 2025-03-15, Pending
26, 2024-09-28, Cancelled
48, 2025-01-05, Cancelled
41, 2025-06-12, Pending
43, 2024-12-01, Completed
11, 2024-09-01, Completed
7, 2025-01-02, Completed
33, 2024-09-13, Pending
26, 2025-04-20, Cancelled
32, 2025-05-22, Pending
40, 2025-02-08, Completed
23, 2025-04-28, Cancelled
17, 2024-11-22, Pending
48, 2024-12-26, Completed
32, 2025-07-27, Cancelled
33, 2024-09-30, Cancelled
42, 2025-03-21, Cancelled
19, 2025-06-16, Completed
32, 2024-09-02, Pending
47, 2025-04-24, Cancelled
36, 2024-12-05, Pending
17, 2025-03-24, Cancelled
5, 2024-12-24, Cancelled
36, 2025-08-17, Pending
50, 2025-08-11, Completed
43, 2024-10-18, Completed
22, 2025-05-26, Pending
21, 2025-02-20, Completed
1, 2025-08-02, Pending
31, 2024-10-08, Pending
31, 2025-06-23, Pending
17, 2025-06-08, Pending
19, 2025-02-13, Pending
30, 2024-11-10, Completed
13, 2025-05-30, Pending
42, 2025-04-23, Cancelled
44, 2024-11-03, Cancelled
2, 2024-10-19, Completed
18, 2024-09-01, Cancelled
9, 2025-05-23, Completed
34, 2025-01-28, Pending
2, 2025-02-05, Cancelled
24, 2025-03-15, Pending
48, 2025-03-15, Cancelled
46, 2024-09-02, Pending
49, 2025-01-14, Completed
31, 2024-12-28, Cancelled
41, 2025-02-15, Cancelled
20, 2024-11-04, Pending
14, 2024-11-29, Completed
17, 2025-04-29, Cancelled
22, 2025-05-27, Pending
30, 2025-08-06, Cancelled
19, 2025-02-13, Cancelled
8, 2024-12-31, Cancelled
41, 2025-06-10, Cancelled
26, 2025-03-22, Cancelled
38, 2024-09-03, Pending
36, 2024-09-18, Cancelled
32, 2025-04-14, Cancelled
39, 2025-07-19, Cancelled
43, 2024-12-21, Pending
33, 2025-07-03, Pending
22, 2025-07-19, Pending
50, 2025-07-06, Completed
44, 2025-07-06, Pending
38, 2025-04-06, Cancelled
39, 2024-12-08, Completed
3, 2025-02-17, Pending
32, 2024-11-03, Pending
22, 2024-08-27, Pending
45, 2025-08-19, Pending
29, 2025-06-23, Completed
33, 2024-10-21, Completed
23, 2025-08-16, Completed
21, 2024-12-31, Completed
49, 2025-07-12, Pending
5, 2025-08-23, Completed
3, 2025-03-30, Completed
22, 2025-06-21, Cancelled
30, 2024-10-10, Pending
20, 2025-04-09, Cancelled
26, 2025-01-11, Completed
43, 2025-03-04, Cancelled
35, 2024-10-07, Completed
17, 2025-08-21, Completed
29, 2024-08-29, Pending
30, 2024-12-20, Cancelled
1, 2024-10-26, Completed
19, 2025-01-29, Completed
7, 2025-04-17, Pending
13, 2025-04-09, Completed
27, 2025-02-27, Completed
34, 2025-06-06, Completed
37, 2024-09-09, Cancelled
15, 2025-06-25, Cancelled
23, 2024-11-12, Cancelled
14, 2025-06-10, Pending
9, 2025-04-23, Cancelled
